title,image,ingredients,instructions
Pinoy Breakfast Omelet and Bacon Garlic Fried Rice,https://panlasangpinoy.com/wp-content/uploads/2023/07/Pinoy-Breakfast-Omelet-and-Bacon-Garlic-Fried-Rice-750x750.jpg,"['▢ 5 eggs', '▢ 1 ½ teaspoons Knorr Liquid Seasoning', '▢ 1 tomato sliced', '▢ 1 onion sliced', '▢ ½ cup cheddar cheese grated', '▢ ½ cup green onions chopped', '▢ 2 tablespoons butter', '▢ 3 tablespoons cooking oil', '▢ 4 cups cooked rice', '▢ 8 strips bacon cut into small pieces', '▢ 5 cloves garlic', '▢ 2 teaspoons Knorr Liquid Seasoning', '▢ ¼ cup green onions chopped', '▢ Salt and ground black pepper to taste']","['Make the fried rice by searing the bacon until the fat gets extracted and the bacon becomes crispy. Note: You will only need around 3 tablespoons of bacon fat. Remove the excess fat for later use.', 'Once the bacon gets crispy, add the minced garlic. Cook until it starts to brown.', 'Put the rice into the pan (using leftover rice is ideal for this recipe). Stir-fry for 3 minutes.', 'Add Knorr Liquid Seasoning, salt, and ground black pepper, and green onions. Toss and cook for 2 minutes. Transfer to a serving plate. Set aside.', 'Make the breakfast omelet by heating 3 tablespoons of cooking oil in a pan. Saute the onion until tender. Remove and set aside.', 'Using the same pan with remaining oil, arrange the sliced tomatoes in a way that it covers the pan.', 'Add the butter. Let it melt. Cook the tomato for 1 minute.', 'Add green onions and put the sauteed onion back into the pan while distributing it evenly.', 'Beat the eggs and add Knorr Liquid Seasoning. Pour the mixture over the onions. Top with grated cheese.', 'Cover the pan. Adjust the heat to the lowest setting. Continue cooking until the eggs get stiff and the cheese is completely melted. Transfer to a serving plate. Serve with fried rice for breakfast.', 'Share and enjoy!']"
Air Fryer Longganisa Frittata Recipe,https://panlasangpinoy.com/wp-content/uploads/2023/01/longganisa-frittata-jpg-webp-750x750.webp,"['▢ 6 CDO Skinless Longganisa cooked', '▢ 6 eggs', '▢ 1 bell pepper chopped', '▢ ½ cup frozen green peas', '▢ ½ cup cheddar cheese', '▢ 1 teaspoon salt']","['Slice the longganisa in half. Set aside.', 'Beat the eggs in a large bowl. Season with salt.', 'Add bell pepper, green peas, and cheddar cheese. Mix well.', 'Scoop a portion of the egg mixture into a silicon air fryer cup. Top with two slices of longganisa.', 'Air fry in 190C for 15 minutes or until the eggs gets cooked completely.', 'Remove the frittata from the silicon cups and arrange it on a serving plate.', 'Serve. Share and enjoy!']"
Breakfast Burrito,https://panlasangpinoy.com/wp-content/uploads/2023/01/burrito-wrap-jpg-webp-750x750.webp,"['▢ 225 g CDO Funtastyk Young Pork Tocino', '▢ 2 ½ cups cooked rice', '▢ 3 eggs', '▢ 1 cup cheddar cheese shredded', '▢ 4 flour tortillas', '▢ 1 ½ cups romaine lettuce shredded', '▢ 3 tomatoes diced', '▢ 2 tablespoons fresh milk', '▢ 2 tablespoons butter', '▢ 1 teaspoon white vinegar']","['Cook the tocino by heating 3 tablespoons of cooking oil in a pan. Adjust your stove between low to medium heat setting. Fry both sides of our CDO Funtastyk Young Pork Tocino until it browns (note: no need to boil). Remove the tocino from the pan. Slice it into serving pieces. Set aside', 'Make the scrambled eggs by combining eggs and fresh milk. Beat until the mixture smoothens. Heat a pan and melt the butter. Once the butter gets hot enough, pour the egg mixture and stir constantly while cooking. Once the texture becomes less runny, add 2 tablespoons of shredded cheddar cheese, and then stir. Transfer to a clean plate. Set aside.', 'Prepare the rice by pouring vinegar over it. Mix well and set aside.', 'Assemble the burrito. Start by spreading the rice over the tortilla. Top with lettuce, tomato, cheese, egg, and CDO Funtastyk Young Pork Tocino. Secure the contents by wrapping the flour tortilla. Arrange on a serving platter. Serve for breakfast. Share and enjoy!']"
One Pan Sandwich,https://panlasangpinoy.com/wp-content/uploads/2023/01/one-pan-sandwich-recipe-jpg-webp-750x750.webp,"['▢ 5 strips CDO Young Pork Bacon', '▢ 2 eggs', '▢ 2 bread slices', '▢ 2 tablespoons mayonnaise', '▢ 2 tablespoons butter', '▢ 3 tablespoons cooking oil']","['Heat around 1 tablespoon of cooking oil in a pan. Cook one side of the CDO young Pork Bacon until it becomes crispy (Note: use low to medium heat setting). Turn the bacon over and do the same to the opposite side. Remove the bacon and chop into smaller pieces. Set aside.', 'Beat the eggs until smooth. Note: you may add salt if you want.', 'Heat 2 tablespoons of cooking oil in a pan. Pour the beaten egg. Cook until firm. Turn it over and continue cooking the other side.', 'Meanwhile, spread mayonnaise on one side of each bread slice. Put both bread slices side-by-side on top of the egg with the mayonnaise side facing down.', 'Spread butter over each bread slice.', 'Using a wide spatula, flip the egg and bread so that the side of the bread with butter touches the pan.', 'Arrange CDO Young Pork Bacon on top of the egg (do this only on one side). Continue cooking until the side of the bread that touches the pan turns golden brown in color.', 'Secure sandwich by folding the bread wherein one bread slice is on top and the other is on the bottom.', 'Remove the sandwich from the pan. Serve for breakfast. Share and enjoy!']"
Bacon Stuffed Pancake,https://panlasangpinoy.com/wp-content/uploads/2023/01/bacon-pancake-jpg-webp-750x750.webp,"['▢ 5 strips CDO Young Pork Bacon', '▢ 1 cup pancake mix', '▢ 1 egg', '▢ 3/4 water', '▢ 1 tablespoon canola oil']","['Heat around 1 tablespoon of cooking oil in a pan. Cook one side of the CDO young Pork Bacon until it becomes crispy (Note: use low to medium heat setting). Turn the bacon over and do the same to the opposite side. Remove the bacon and chop into smaller pieces. Set aside.', 'Combine all the pancake batter ingredients in a mixing bowl. Mix well usinng a wire whisk.', 'Heat a clean non-stick pan and spread around 1 tablespoon of canolaoil.', 'Scoop around 6 tablespoons of pancake batter and pour it into the pan. Top with some bacon sliced.', 'Flip the pancake once you see bubbling on top. Continue cooking for 30 seconds to 1 minute. You will know that you are done when the pancake slides freely when you shake the pan. Transfer to a serving plate. Do the same step until the entire pancake batter is consumed.', 'Serve with extra CDO Young Pork Bacon on the side. Enjoy with your favorite drink for breakfast.']"
Tapa and Egg Fried Rice,https://panlasangpinoy.com/wp-content/uploads/2022/07/tapa-and-egg-fried-rice-recipe_-750x750.jpg,"['▢ 1 lb. horse meat sliced into thin pieces.', '▢ 1 head  garlic crushed', '▢ ½ cup soy sauce', '▢ ¼ teaspoon ground black pepper', '▢ 1 teaspoon salt', '▢ 2 teaspoons sugar', '▢ ¾ cups water', '▢ 1 ½ cups lemon lime soda', '▢ 4 tablespoons cooking oil', '▢ 4 cups leftover rice', '▢ 3 eggs beaten', '▢ 1 onion minced', '▢ ¼ cup green onion chopped', '▢ 1 red bell pepper minced', '▢ 3 tablespoons soy sauce', '▢ 2 teaspoons sesame oil', '▢ 1 teaspoon salt optional']","['Start making the tapa by combining garlic, soy sauce, salt, and ground black pepper in a bowl. Stir. Add the meat and mix well. Cover the bowl and refrigerate for at least 3 hours.', 'Slice the meat into thinner and smaller pieces as needed. Arrange it in a pan and pour-in water and cooking oil. Let boil.', 'Add the lemon lime soda. Continue cooking uncovered until the liquid completely evaporates.', 'Fry the tapa in remaining oil for 2 minutes. Remove from the pan and set aside.', 'Make the egg fried rice by frying the eggs in the remaining oil.', 'Once completely cooked, cut the eggs into smaller pieces using your spatula.', 'Add onion, half of the green onions, and bell pepper. Cook for 2 minutes while continuously stirring.', 'Put the leftover rice into the pan and then toss until all the ingredients are well distributed.', 'Add soy sauce and sesame oil. Continue to stir fry for 3 to 5 minutes. Note: You may add salt if needed.', 'Top with remaining green onions. Transfer to a serving plate and serve with the fried tapa. Share and enjoy!']"
Arroz Caldo Recipe,https://panlasangpinoy.com/wp-content/uploads/2019/03/arroz-caldo-jpg-728x750.webp,"['▢ 1 ½ lbs chicken cut into serving pieces', '▢ 1 ½ cups rice uncooked', '▢ 34 ounces water about 1 liter', '▢ 2 Tablespoons fish sauce', '▢ 1 teaspoon garlic', '▢ 1/4 teaspoon ground black pepper', '▢ 1 cup onion minced', '▢ 4 eggs hard boiled', '▢ 1 cup scallions green onions, minced', '▢ 2 knobs ginger julienned', '▢ 3 tbsp safflower kasubha', '▢ 1 chicken cube bouillon', '▢ 1 lemon or 4 pieces calamansi', '▢ 2 Tablespoon cooking oil']","['In a pot, heat the cooking oil then saute the garlic, onion, and ginger', 'Dash-in some ground black pepper', 'Add the chicken cube and cook until the cube melts', 'Put-in the chicken and cook until outer layer color turns golden brown', 'Add the fish sauce and uncooked rice then mix and cook for a few minutes', 'Pour-in the water and bring to a boil', 'Stir occasionally and simmer until the rice is fully cooked (about 30 to 40 minutes)', 'Put-in the hard boiled eggs', 'Add the safflower for additional color and aroma', 'Serve hot with garlic, minced scallions, and lemon. Share and Enjoy!']"
Tortilla Espanola Recipe (Spanish Potato Omelet),https://panlasangpinoy.com/wp-content/uploads/2010/08/Tortilla-Espanola-1-jpg-750x750.webp,"['▢ 5 pieces potato peeled and sliced', '▢ 1 piece yellow onion diced', '▢ 6 pieces eggs', '▢ 2 cups olive oil', '▢ 1 1/2 teaspoon salt']","['Mix potatoes and onion in a large bowl.', 'Add 1 tablespoon salt then mix thoroughly until well distributed. Set aside.', 'Heat a cooking pot and pour-in olive oil.', 'When the oil is hot enough, fry the potatoes and onion using medium heat. This should take between 7 to 10 minutes. Do not brown the potatoes.', 'Remove the potatoes from the cooking pot, turn off heat, and then drain excess oil. Let the fried potatoes cool for a few minutes.', 'Combine the remaining salt with the eggs then beat.', 'Add the cooked potato in the beaten egg mixture then stir to distribute.', 'Heat an 8 to 10 inches non-stick pan and pour-in about 2 to 3 tablespoons of olive oil. You may utilize the olive oil used to fry the potatoes.', 'When the oil is hot enough, pour-in the eggs and potato mixture. Cook for about 5 to 7 minutes in low to medium heat. Cooking time may vary, it is recommended to manually check the omelet to prevent burns.', 'Flip the omelet by placing a wide plate on top of the pan and turn the pan over in a way that the plate catches the omelet.', 'Place the pan back on the stove and gently push the omelet from the plate to the pan. Cook until the other side is done.']"
How to Cook Longsilog,https://panlasangpinoy.com/wp-content/uploads/2021/06/longsilog-jpg.webp,"['▢ 1/2 lb. skinless longanisa', '▢ 2 pieces eggs', '▢ 4 cups rice leftover', '▢ 5 cloves garlic crushed', '▢ 1/2 cup water', '▢ 4 tablespoons cooking oil', '▢ Salt and ground black pepper to taste']","['Heat 2 tablespoons of oil in a pan. Once the oil gets hot, fry the eggs. Remove from the pan. Set aside.', 'Add remaining oil in the pan. Fry the longanisa until the outer part turns light brown (around 1 1/2 minutes).', 'Pour-in water. Let boil. Continue boiling until the water evaporates.  Fry the longanisa in remaining oil until fully cooked. Remove from the pan and set aside.', 'Using the remaining oil, cook garlic until it starts to turn light brown.', 'Add rice. Stir-fry for 3 minutes. Season with salt and ground black pepper.', 'Assemble the fried eggs, longanisa, and sinangag on a plate. Serve with spicy vinegar as a dipping sauce for the longanisa.', 'Share and enjoy!']"
Banana Fritter Recipe (Maruya),https://panlasangpinoy.com/wp-content/uploads/2012/12/maruya-banana-fritter.jpg,"['▢ 6 pieces banana saba or plantain variety, ripe (mashed)', '▢ 1 cup all-purpose flour', '▢ 1 1/2 teaspoon vanilla extract', '▢ 1 piece egg beaten', '▢ 1 teaspoon baking powder', '▢ 3/4 cup granulated white sugar', '▢ 1 cup fresh milk', '▢ 3/4 cups cooking oil', '▢ 1/2 teaspoon salt']","['In a large bowl, combine flour, baking powder, salt, and 1/2 cup sugar. Mix well.', 'Gradually add the mashed bananas while mixing.', 'Add the egg, vanilla extract, and milk. Mix to incorporate all the ingredients.', 'Heat half of the oil in a pan.', 'When the oil becomes hot, scoop about 1/2 cup of the mixture and then pour in the pan (add the remaining oil in the next batches).', 'Fry both sides until the color turns golden brown.', 'Sprinkle the remaining sugar on both sides.', 'Serve. Share and enjoy!']"
