title,image,ingredients,instructions,nutrition_info,clean_ingredients
Pinoy Breakfast Omelet and Bacon Garlic Fried Rice,https://panlasangpinoy.com/wp-content/uploads/2023/07/Pinoy-Breakfast-Omelet-and-Bacon-Garlic-Fried-Rice-750x750.jpg,"['▢ 5 eggs', '▢ 1 ½ teaspoons Knorr Liquid Seasoning', '▢ 1 tomato sliced', '▢ 1 onion sliced', '▢ ½ cup cheddar cheese grated', '▢ ½ cup green onions chopped', '▢ 2 tablespoons butter', '▢ 3 tablespoons cooking oil', '▢ 4 cups cooked rice', '▢ 8 strips bacon cut into small pieces', '▢ 5 cloves garlic', '▢ 2 teaspoons Knorr Liquid Seasoning', '▢ ¼ cup green onions chopped', '▢ Salt and ground black pepper to taste']","['Make the fried rice by searing the bacon until the fat gets extracted and the bacon becomes crispy. Note: You will only need around 3 tablespoons of bacon fat. Remove the excess fat for later use.', 'Once the bacon gets crispy, add the minced garlic. Cook until it starts to brown.', 'Put the rice into the pan (using leftover rice is ideal for this recipe). Stir-fry for 3 minutes.', 'Add Knorr Liquid Seasoning, salt, and ground black pepper, and green onions. Toss and cook for 2 minutes. Transfer to a serving plate. Set aside.', 'Make the breakfast omelet by heating 3 tablespoons of cooking oil in a pan. Saute the onion until tender. Remove and set aside.', 'Using the same pan with remaining oil, arrange the sliced tomatoes in a way that it covers the pan.', 'Add the butter. Let it melt. Cook the tomato for 1 minute.', 'Add green onions and put the sauteed onion back into the pan while distributing it evenly.', 'Beat the eggs and add Knorr Liquid Seasoning. Pour the mixture over the onions. Top with grated cheese.', 'Cover the pan. Adjust the heat to the lowest setting. Continue cooking until the eggs get stiff and the cheese is completely melted. Transfer to a serving plate. Serve with fried rice for breakfast.', 'Share and enjoy!']",Calories:2798kcal(140%)Carbohydrates:210g(70%)Protein:87g(174%)Fat:177g(272%)Saturated Fat:59g(295%)Polyunsaturated Fat:30gMonounsaturated Fat:76gTrans Fat:1gCholesterol:1051mg(350%)Sodium:3232mg(135%)Potassium:1687mg(48%)Fiber:8g(32%)Sugar:11g(12%)Vitamin A:4295IU(86%)Vitamin C:44mg(53%)Calcium:724mg(72%)Iron:8mg(44%),"['onion', 'cheddar cheese', 'bacon', 'tomato', 'eggs', 'Salt ground black pepper', 'garlic', 'cooking oil', 'Knorr Liquid Seasoning', 'butter', 'cooked rice', 'green onions']"
Air Fryer Longganisa Frittata Recipe,https://panlasangpinoy.com/wp-content/uploads/2023/01/longganisa-frittata-jpg-webp-750x750.webp,"['▢ 6 CDO Skinless Longganisa cooked', '▢ 6 eggs', '▢ 1 bell pepper chopped', '▢ ½ cup frozen green peas', '▢ ½ cup cheddar cheese', '▢ 1 teaspoon salt']","['Slice the longganisa in half. Set aside.', 'Beat the eggs in a large bowl. Season with salt.', 'Add bell pepper, green peas, and cheddar cheese. Mix well.', 'Scoop a portion of the egg mixture into a silicon air fryer cup. Top with two slices of longganisa.', 'Air fry in 190C for 15 minutes or until the eggs gets cooked completely.', 'Remove the frittata from the silicon cups and arrange it on a serving plate.', 'Serve. Share and enjoy!']",Calories:266kcal(13%)Carbohydrates:5g(2%)Protein:17g(34%)Fat:19g(29%)Saturated Fat:7g(35%)Polyunsaturated Fat:3gMonounsaturated Fat:7gTrans Fat:0.1gCholesterol:281mg(94%)Sodium:960mg(40%)Potassium:283mg(8%)Fiber:2g(8%)Sugar:3g(3%)Vitamin A:1591IU(32%)Vitamin C:46mg(56%)Calcium:146mg(15%)Iron:2mg(11%),"['cheddar cheese', 'bell pepper', 'frozen green peas', 'eggs', 'CDO Skinless Longganisa cooked', 'salt']"
Breakfast Burrito,https://panlasangpinoy.com/wp-content/uploads/2023/01/burrito-wrap-jpg-webp-750x750.webp,"['▢ 225 g CDO Funtastyk Young Pork Tocino', '▢ 2 ½ cups cooked rice', '▢ 3 eggs', '▢ 1 cup cheddar cheese shredded', '▢ 4 flour tortillas', '▢ 1 ½ cups romaine lettuce shredded', '▢ 3 tomatoes diced', '▢ 2 tablespoons fresh milk', '▢ 2 tablespoons butter', '▢ 1 teaspoon white vinegar']","['Cook the tocino by heating 3 tablespoons of cooking oil in a pan. Adjust your stove between low to medium heat setting. Fry both sides of our CDO Funtastyk Young Pork Tocino until it browns (note: no need to boil). Remove the tocino from the pan. Slice it into serving pieces. Set aside', 'Make the scrambled eggs by combining eggs and fresh milk. Beat until the mixture smoothens. Heat a pan and melt the butter. Once the butter gets hot enough, pour the egg mixture and stir constantly while cooking. Once the texture becomes less runny, add 2 tablespoons of shredded cheddar cheese, and then stir. Transfer to a clean plate. Set aside.', 'Prepare the rice by pouring vinegar over it. Mix well and set aside.', 'Assemble the burrito. Start by spreading the rice over the tortilla. Top with lettuce, tomato, cheese, egg, and CDO Funtastyk Young Pork Tocino. Secure the contents by wrapping the flour tortilla. Arrange on a serving platter. Serve for breakfast. Share and enjoy!']",Calories:531kcal(27%)Carbohydrates:48g(16%)Protein:28g(56%)Fat:25g(38%)Saturated Fat:12g(60%)Polyunsaturated Fat:2gMonounsaturated Fat:7gTrans Fat:0.3gCholesterol:201mg(67%)Sodium:544mg(23%)Potassium:605mg(17%)Fiber:3g(12%)Sugar:4g(4%)Vitamin A:2952IU(59%)Vitamin C:13mg(16%)Calcium:306mg(31%)Iron:3mg(17%),"['romaine lettuce', 'cheddar cheese', 'eggs', 'flour tortillas', 'white vinegar', 'butter', 'cooked rice', 'CDO Funtastyk Young Pork Tocino', 'milk', 'tomatoes']"
One Pan Sandwich,https://panlasangpinoy.com/wp-content/uploads/2023/01/one-pan-sandwich-recipe-jpg-webp-750x750.webp,"['▢ 5 strips CDO Young Pork Bacon', '▢ 2 eggs', '▢ 2 bread slices', '▢ 2 tablespoons mayonnaise', '▢ 2 tablespoons butter', '▢ 3 tablespoons cooking oil']","['Heat around 1 tablespoon of cooking oil in a pan. Cook one side of the CDO young Pork Bacon until it becomes crispy (Note: use low to medium heat setting). Turn the bacon over and do the same to the opposite side. Remove the bacon and chop into smaller pieces. Set aside.', 'Beat the eggs until smooth. Note: you may add salt if you want.', 'Heat 2 tablespoons of cooking oil in a pan. Pour the beaten egg. Cook until firm. Turn it over and continue cooking the other side.', 'Meanwhile, spread mayonnaise on one side of each bread slice. Put both bread slices side-by-side on top of the egg with the mayonnaise side facing down.', 'Spread butter over each bread slice.', 'Using a wide spatula, flip the egg and bread so that the side of the bread with butter touches the pan.', 'Arrange CDO Young Pork Bacon on top of the egg (do this only on one side). Continue cooking until the side of the bread that touches the pan turns golden brown in color.', 'Secure sandwich by folding the bread wherein one bread slice is on top and the other is on the bottom.', 'Remove the sandwich from the pan. Serve for breakfast. Share and enjoy!']",Calories:1048kcal(52%)Carbohydrates:27g(9%)Protein:19g(38%)Fat:97g(149%)Saturated Fat:24g(120%)Polyunsaturated Fat:28gMonounsaturated Fat:41gTrans Fat:1gCholesterol:399mg(133%)Sodium:848mg(35%)Potassium:213mg(6%)Fiber:2g(8%)Sugar:4g(4%)Vitamin A:1194IU(24%)Vitamin C:0.1mgCalcium:128mg(13%)Iron:4mg(22%),"['mayonnaise', 'eggs', 'bread', 'CDO Young Pork Bacon', 'cooking oil', 'butter']"
Bacon Stuffed Pancake,https://panlasangpinoy.com/wp-content/uploads/2023/01/bacon-pancake-jpg-webp-750x750.webp,"['▢ 5 strips CDO Young Pork Bacon', '▢ 1 cup pancake mix', '▢ 1 egg', '▢ 3/4 water', '▢ 1 tablespoon canola oil']","['Heat around 1 tablespoon of cooking oil in a pan. Cook one side of the CDO young Pork Bacon until it becomes crispy (Note: use low to medium heat setting). Turn the bacon over and do the same to the opposite side. Remove the bacon and chop into smaller pieces. Set aside.', 'Combine all the pancake batter ingredients in a mixing bowl. Mix well usinng a wire whisk.', 'Heat a clean non-stick pan and spread around 1 tablespoon of canolaoil.', 'Scoop around 6 tablespoons of pancake batter and pour it into the pan. Top with some bacon sliced.', 'Flip the pancake once you see bubbling on top. Continue cooking for 30 seconds to 1 minute. You will know that you are done when the pancake slides freely when you shake the pan. Transfer to a serving plate. Do the same step until the entire pancake batter is consumed.', 'Serve with extra CDO Young Pork Bacon on the side. Enjoy with your favorite drink for breakfast.']",Calories:119kcal(6%)Carbohydrates:9g(3%)Protein:4g(8%)Fat:7g(11%)Saturated Fat:1g(5%)Polyunsaturated Fat:2gMonounsaturated Fat:3gTrans Fat:0.02gCholesterol:64mg(21%)Sodium:205mg(9%)Potassium:80mg(2%)Fiber:1g(4%)Sugar:0.04gVitamin A:141IU(3%)Vitamin C:0.2mgCalcium:76mg(8%)Iron:1mg(6%),"['water', 'canola oil', 'pancake mix', 'egg', 'CDO Young Pork Bacon']"
Tapa and Egg Fried Rice,https://panlasangpinoy.com/wp-content/uploads/2022/07/tapa-and-egg-fried-rice-recipe_-750x750.jpg,"['▢ 1 lb. horse meat sliced into thin pieces.', '▢ 1 head  garlic crushed', '▢ ½ cup soy sauce', '▢ ¼ teaspoon ground black pepper', '▢ 1 teaspoon salt', '▢ 2 teaspoons sugar', '▢ ¾ cups water', '▢ 1 ½ cups lemon lime soda', '▢ 4 tablespoons cooking oil', '▢ 4 cups leftover rice', '▢ 3 eggs beaten', '▢ 1 onion minced', '▢ ¼ cup green onion chopped', '▢ 1 red bell pepper minced', '▢ 3 tablespoons soy sauce', '▢ 2 teaspoons sesame oil', '▢ 1 teaspoon salt optional']","['Start making the tapa by combining garlic, soy sauce, salt, and ground black pepper in a bowl. Stir. Add the meat and mix well. Cover the bowl and refrigerate for at least 3 hours.', 'Slice the meat into thinner and smaller pieces as needed. Arrange it in a pan and pour-in water and cooking oil. Let boil.', 'Add the lemon lime soda. Continue cooking uncovered until the liquid completely evaporates.', 'Fry the tapa in remaining oil for 2 minutes. Remove from the pan and set aside.', 'Make the egg fried rice by frying the eggs in the remaining oil.', 'Once completely cooked, cut the eggs into smaller pieces using your spatula.', 'Add onion, half of the green onions, and bell pepper. Cook for 2 minutes while continuously stirring.', 'Put the leftover rice into the pan and then toss until all the ingredients are well distributed.', 'Add soy sauce and sesame oil. Continue to stir fry for 3 to 5 minutes. Note: You may add salt if needed.', 'Top with remaining green onions. Transfer to a serving plate and serve with the fried tapa. Share and enjoy!']",Calories:798kcal(40%)Carbohydrates:66g(22%)Protein:34g(68%)Fat:44g(68%)Saturated Fat:12g(60%)Polyunsaturated Fat:6gMonounsaturated Fat:21gTrans Fat:1gCholesterol:203mg(68%)Sodium:4255mg(177%)Potassium:733mg(21%)Fiber:4g(16%)Sugar:16g(18%)Vitamin A:2674IU(53%)Vitamin C:45mg(55%)Calcium:97mg(10%)Iron:5mg(28%),"['water', 'leftover rice', 'onion', 'lemon lime soda', 'horse meat', 'head garlic', 'eggs', 'sugar', 'ground black pepper', 'red bell pepper', 'cooking oil', 'sesame oil', 'salt', 'soy sauce', 'green onion']"
Arroz Caldo Recipe,https://panlasangpinoy.com/wp-content/uploads/2019/03/arroz-caldo-jpg-728x750.webp,"['▢ 1 ½ lbs chicken cut into serving pieces', '▢ 1 ½ cups rice uncooked', '▢ 34 ounces water about 1 liter', '▢ 2 Tablespoons fish sauce', '▢ 1 teaspoon garlic', '▢ 1/4 teaspoon ground black pepper', '▢ 1 cup onion minced', '▢ 4 eggs hard boiled', '▢ 1 cup scallions green onions, minced', '▢ 2 knobs ginger julienned', '▢ 3 tbsp safflower kasubha', '▢ 1 chicken cube bouillon', '▢ 1 lemon or 4 pieces calamansi', '▢ 2 Tablespoon cooking oil']","['In a pot, heat the cooking oil then saute the garlic, onion, and ginger', 'Dash-in some ground black pepper', 'Add the chicken cube and cook until the cube melts', 'Put-in the chicken and cook until outer layer color turns golden brown', 'Add the fish sauce and uncooked rice then mix and cook for a few minutes', 'Pour-in the water and bring to a boil', 'Stir occasionally and simmer until the rice is fully cooked (about 30 to 40 minutes)', 'Put-in the hard boiled eggs', 'Add the safflower for additional color and aroma', 'Serve hot with garlic, minced scallions, and lemon. Share and Enjoy!']",Serving:6gCalories:584kcal(29%)Carbohydrates:43g(14%)Protein:29g(58%)Fat:32g(49%)Saturated Fat:7g(35%)Polyunsaturated Fat:7gMonounsaturated Fat:17gTrans Fat:1gCholesterol:194mg(65%)Sodium:766mg(32%)Potassium:442mg(13%)Fiber:2g(8%)Sugar:2g(2%)Vitamin A:489IU(10%)Vitamin C:17mg(21%)Calcium:75mg(8%)Iron:2mg(11%),"['water', 'onion', 'ginger', 'rice', 'fish sauce', 'scallions green onions', 'eggs hard boiled', 'ground black pepper', 'chicken', 'garlic', 'cooking oil', 'chicken cube bouillon', 'lemon or calamansi', 'safflower kasubha']"
Tortilla Espanola Recipe (Spanish Potato Omelet),https://panlasangpinoy.com/wp-content/uploads/2010/08/Tortilla-Espanola-1-jpg-750x750.webp,"['▢ 5 pieces potato peeled and sliced', '▢ 1 piece yellow onion diced', '▢ 6 pieces eggs', '▢ 2 cups olive oil', '▢ 1 1/2 teaspoon salt']","['Mix potatoes and onion in a large bowl.', 'Add 1 tablespoon salt then mix thoroughly until well distributed. Set aside.', 'Heat a cooking pot and pour-in olive oil.', 'When the oil is hot enough, fry the potatoes and onion using medium heat. This should take between 7 to 10 minutes. Do not brown the potatoes.', 'Remove the potatoes from the cooking pot, turn off heat, and then drain excess oil. Let the fried potatoes cool for a few minutes.', 'Combine the remaining salt with the eggs then beat.', 'Add the cooked potato in the beaten egg mixture then stir to distribute.', 'Heat an 8 to 10 inches non-stick pan and pour-in about 2 to 3 tablespoons of olive oil. You may utilize the olive oil used to fry the potatoes.', 'When the oil is hot enough, pour-in the eggs and potato mixture. Cook for about 5 to 7 minutes in low to medium heat. Cooking time may vary, it is recommended to manually check the omelet to prevent burns.', 'Flip the omelet by placing a wide plate on top of the pan and turn the pan over in a way that the plate catches the omelet.', 'Place the pan back on the stove and gently push the omelet from the plate to the pan. Cook until the other side is done.']",Serving:4gCalories:968kcal(48%)Carbohydrates:3g(1%)Protein:1g(2%)Fat:108g(166%)Saturated Fat:15g(75%)Polyunsaturated Fat:11gMonounsaturated Fat:79gCholesterol:6mg(2%)Sodium:877mg(37%)Potassium:43mg(1%)Fiber:1g(4%)Sugar:1g(1%)Vitamin A:9IUVitamin C:2mg(2%)Calcium:9mg(1%)Iron:1mg(6%),"['olive oil', 'eggs', 'yellow onion', 'salt', 'potato']"
How to Cook Longsilog,https://panlasangpinoy.com/wp-content/uploads/2021/06/longsilog-jpg.webp,"['▢ 1/2 lb. skinless longanisa', '▢ 2 pieces eggs', '▢ 4 cups rice leftover', '▢ 5 cloves garlic crushed', '▢ 1/2 cup water', '▢ 4 tablespoons cooking oil', '▢ Salt and ground black pepper to taste']","['Heat 2 tablespoons of oil in a pan. Once the oil gets hot, fry the eggs. Remove from the pan. Set aside.', 'Add remaining oil in the pan. Fry the longanisa until the outer part turns light brown (around 1 1/2 minutes).', 'Pour-in water. Let boil. Continue boiling until the water evaporates.  Fry the longanisa in remaining oil until fully cooked. Remove from the pan and set aside.', 'Using the remaining oil, cook garlic until it starts to turn light brown.', 'Add rice. Stir-fry for 3 minutes. Season with salt and ground black pepper.', 'Assemble the fried eggs, longanisa, and sinangag on a plate. Serve with spicy vinegar as a dipping sauce for the longanisa.', 'Share and enjoy!']",Calories:978kcal(49%)Carbohydrates:149g(50%)Protein:22g(44%)Fat:30g(46%)Saturated Fat:6g(30%)Polyunsaturated Fat:6gMonounsaturated Fat:16gTrans Fat:1gCholesterol:43mg(14%)Sodium:373mg(16%)Potassium:369mg(11%)Fiber:2g(8%)Sugar:1g(1%)Vitamin A:46IU(1%)Vitamin C:2mg(2%)Calcium:65mg(7%)Iron:2mg(11%),"['water', 'rice leftover', 'eggs', 'Salt ground black pepper', 'garlic', 'cooking oil', 'skinless longanisa']"
Banana Fritter Recipe (Maruya),https://panlasangpinoy.com/wp-content/uploads/2012/12/maruya-banana-fritter.jpg,"['▢ 6 pieces banana saba or plantain variety, ripe (mashed)', '▢ 1 cup all-purpose flour', '▢ 1 1/2 teaspoon vanilla extract', '▢ 1 piece egg beaten', '▢ 1 teaspoon baking powder', '▢ 3/4 cup granulated white sugar', '▢ 1 cup fresh milk', '▢ 3/4 cups cooking oil', '▢ 1/2 teaspoon salt']","['In a large bowl, combine flour, baking powder, salt, and 1/2 cup sugar. Mix well.', 'Gradually add the mashed bananas while mixing.', 'Add the egg, vanilla extract, and milk. Mix to incorporate all the ingredients.', 'Heat half of the oil in a pan.', 'When the oil becomes hot, scoop about 1/2 cup of the mixture and then pour in the pan (add the remaining oil in the next batches).', 'Fry both sides until the color turns golden brown.', 'Sprinkle the remaining sugar on both sides.', 'Serve. Share and enjoy!']",Serving:6gCalories:460kcal(23%)Carbohydrates:44g(15%)Protein:4g(8%)Fat:30g(46%)Saturated Fat:3g(15%)Cholesterol:31mg(10%)Sodium:223mg(9%)Potassium:153mg(4%)Fiber:1g(4%)Sugar:27g(30%)Vitamin A:105IU(2%)Calcium:82mg(8%)Iron:1mg(6%),"['vanilla extract', 'egg', 'granulated white sugar', 'cooking oil', 'baking powder', 'salt', 'banana saba or plantain variety', 'milk', 'all-purpose flour']"
